name KD02comb ne_KD02comb pe_KD02comb PP04_O3N2 ne_PP04_O3N2 pe_PP04_O3N2 M08_N2Ha ne_M08_N2Ha pe_M08_N2Ha M13_O3N2 ne_M13_O3N2 pe_M13_O3N2
09as 8.1 0.09 0.06 8.02 0.03 0.02 8.1 0.09 0.06 8.06 0.03 0.02
09atu 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
09cnd 8.24 0.43 0.16 8.23 0.13 0.06 8.43 0.32 0.22 8.19 0.09 0.05
09cwl 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10bfz 8.02 0.12 0.1 8.03 0.04 0.04 8.02 0.12 0.09 8.06 0.03 0.03
10bjp 8.24 0.25 0.13 8.12 0.09 0.05 8.24 0.23 0.13 8.12 0.06 0.04
10cwr 7.82 0.61 0.26 7.94 0.14 0.09 7.94 0.39 0.75 8.01 0.1 0.06
10hgi 8.38 0.12 0.06 8.36 0.05 0.03 8.49 0.12 0.08 8.28 0.03 0.02
10nmn 8.28 0.09 0.07 8.1 0.04 0.03 8.27 0.09 0.07 8.11 0.03 0.02
10uhf 0.0 0.0 0.0 8.7 0.01 0.01 8.98 0.01 0.01 8.51 0.01 0.01
10vqv 8.42 0.08 0.03 8.18 0.04 0.03 8.51 0.08 0.06 8.16 0.03 0.02
10vwg 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10aagc 8.34 0.14 0.07 8.19 0.05 0.04 8.33 0.12 0.08 8.18 0.04 0.03
11dij 7.76 0.45 0.21 7.93 0.1 0.06 7.8 0.29 0.21 7.99 0.07 0.05
11hrq 8.3 0.04 0.03 8.15 0.01 0.01 8.28 0.04 0.03 8.15 0.01 0.01
11rks 8.12 0.51 0.23 8.17 0.17 0.11 8.69 0.4 0.0 8.16 0.11 0.08
12dam 8.08 0.03 0.02 8.0 0.01 0.01 8.08 0.03 0.02 8.04 0.02 0.02
12mxx 8.15 0.61 0.21 8.35 0.17 0.1 8.69 0.46 0.0 8.28 0.11 0.06
